NIP,NAMA,Periode,Orientasi_Pelayanan,Akuntabel,Kompeten,Harmonis,Loyal,Adaptif,Kolaboratif,Rata_7_Aspek,Kategori_7_Aspek,Waktu_Update
197209142000011001,PEGAWAI 127,2026-01,74,88,93,87,90,75,73,82.9,Sesuai Ekspektasi,03-08-2026 14:21:00
198704072024011001,PEGAWAI 128,2026-01,87,93,88,90,93,82,82,87.9,Sesuai Ekspektasi,03-08-2026 14:21:00
197511032025021001,PEGAWAI 129,2026-01,86,89,74,83,87,77,83,82.7,Sesuai Ekspektasi,03-08-2026 14:21:00
199405232026081001,PEGAWAI 13,2026-01,92,75,80,92,90,81,95,86.4,Sesuai Ekspektasi,03-08-2026 14:21:00
197604101998081001,PEGAWAI 130,2026-01,81,94,71,85,92,94,77,84.9,Sesuai Ekspektasi,03-08-2026 14:21:00
197308052024081001,PEGAWAI 131,2026-01,80,90,95,80,98,83,79,86.4,Sesuai Ekspektasi,03-08-2026 14:21:00
198403152025011001,PEGAWAI 132,2026-01,72,84,95,91,91,82,76,84.4,Sesuai Ekspektasi,03-08-2026 14:21:00
197908242009031001,PEGAWAI 133,2026-01,89,87,81,89,86,73,75,82.9,Sesuai Ekspektasi,03-08-2026 14:21:00
199602112017111001,PEGAWAI 134,2026-01,85,88,90,90,85,74,70,83.1,Sesuai Ekspektasi,03-08-2026 14:21:00
199107202015011001,PEGAWAI 135,2026-01,77,71,79,76,96,83,83,80.7,Sesuai Ekspektasi,03-08-2026 14:21:00
199905102024101001,PEGAWAI 136,2026-01,71,81,92,88,100,89,93,87.7,Sesuai Ekspektasi,03-08-2026 14:21:00
198003012025061001,PEGAWAI 137,2026-01,85,83,77,82,80,83,87,82.4,Sesuai Ekspektasi,03-08-2026 14:21:00
198804092025081001,PEGAWAI 138,2026-01,95,89,78,94,95,76,94,88.7,Sesuai Ekspektasi,03-08-2026 14:21:00
198601042026021001,PEGAWAI 139,2026-01,86,92,74,88,81,87,72,82.9,Sesuai Ekspektasi,03-08-2026 14:21:00
197005122026091001,PEGAWAI 14,2026-01,89,86,94,77,82,79,91,85.4,Sesuai Ekspektasi,03-08-2026 14:21:00
199512242025041001,PEGAWAI 140,2026-01,91,86,78,75,97,79,72,82.6,Sesuai Ekspektasi,03-08-2026 14:21:00
198601242027111001,PEGAWAI 141,2026-01,77,77,93,95,90,87,95,87.7,Sesuai Ekspektasi,03-08-2026 14:21:00
199203272014031001,PEGAWAI 142,2026-01,74,84,75,82,86,81,90,81.7,Sesuai Ekspektasi,03-08-2026 14:21:00
197805102027062001,PEGAWAI 143,2026-01,81,94,73,94,92,78,75,83.9,Sesuai Ekspektasi,03-08-2026 14:21:00
199608112024032001,PEGAWAI 144,2026-01,81,89,70,95,89,83,89,85.1,Sesuai Ekspektasi,03-08-2026 14:21:00
199709182022092001,PEGAWAI 145,2026-01,82,82,83,79,86,76,76,80.6,Sesuai Ekspektasi,03-08-2026 14:21:00
199702112027112001,PEGAWAI 146,2026-01,72,94,89,76,99,77,81,84.0,Sesuai Ekspektasi,03-08-2026 14:21:00
199709222025122001,PEGAWAI 147,2026-01,76,84,90,95,87,90,75,85.3,Sesuai Ekspektasi,03-08-2026 14:21:00
197301232027042001,PEGAWAI 148,2026-01,91,72,85,87,90,81,77,83.3,Sesuai Ekspektasi,03-08-2026 14:21:00
199406152022112001,PEGAWAI 149,2026-01,89,92,91,95,98,92,80,91.0,Diatas Ekspektasi,03-08-2026 14:21:00
197808272027051001,PEGAWAI 15,2026-01,85,83,85,93,80,83,88,85.3,Sesuai Ekspektasi,03-08-2026 14:21:00
198312192001122001,PEGAWAI 150,2026-01,72,91,71,87,81,74,85,80.1,Sesuai Ekspektasi,03-08-2026 14:21:00
199411112027072001,PEGAWAI 151,2026-01,85,85,76,84,94,88,72,83.4,Sesuai Ekspektasi,03-08-2026 14:21:00
197407302010112001,PEGAWAI 152,2026-01,78,91,87,91,93,77,94,87.3,Sesuai Ekspektasi,03-08-2026 14:21:00
198907192024071001,PEGAWAI 153,2026-01,83,93,92,82,92,92,73,86.7,Sesuai Ekspektasi,03-08-2026 14:21:00
200111162024061001,PEGAWAI 154,2026-01,70,72,65,75,71,73,70,70.9,Dibawah Ekspektasi,03-08-2026 14:21:00
198912212025112001,PEGAWAI 155,2026-01,92,93,89,81,88,70,84,85.3,Sesuai Ekspektasi,03-08-2026 14:21:00
199911272025042001,PEGAWAI 156,2026-01,94,83,82,90,99,71,70,84.1,Sesuai Ekspektasi,03-08-2026 14:21:00
197504022025121001,PEGAWAI 157,2026-01,74,76,85,90,84,78,80,81.0,Sesuai Ekspektasi,03-08-2026 14:21:00
196802221996101001,PEGAWAI 158,2026-01,86,83,83,88,90,92,78,85.7,Sesuai Ekspektasi,03-08-2026 14:21:00
200007012025052001,PEGAWAI 159,2026-01,86,81,70,82,95,74,80,81.1,Sesuai Ekspektasi,03-08-2026 14:21:00
197308252026121001,PEGAWAI 16,2026-01,73,86,86,83,91,71,82,81.7,Sesuai Ekspektasi,03-08-2026 14:21:00
199712192026012001,PEGAWAI 160,2026-01,87,71,90,87,99,82,90,86.6,Sesuai Ekspektasi,03-08-2026 14:21:00
196804061988121001,PEGAWAI 161,2026-01,78,97,92,90,91,95,94,91.0,Diatas Ekspektasi,03-08-2026 14:21:00
199905012024101001,PEGAWAI 162,2026-01,71,76,85,80,83,73,79,78.1,Sesuai Ekspektasi,03-08-2026 14:21:00
199411222023011001,PEGAWAI 163,2026-01,86,86,80,87,81,73,71,80.6,Sesuai Ekspektasi,03-08-2026 14:21:00
199505112026022001,PEGAWAI 164,2026-01,95,74,70,81,85,88,92,83.6,Sesuai Ekspektasi,03-08-2026 14:21:00
199710232023031001,PEGAWAI 165,2026-01,89,87,86,87,97,89,85,88.6,Sesuai Ekspektasi,03-08-2026 14:21:00
200207182024112001,PEGAWAI 166,2026-01,84,74,73,78,93,84,94,82.9,Sesuai Ekspektasi,03-08-2026 14:21:00
199707112026021001,PEGAWAI 167,2026-01,73,82,89,93,99,90,95,88.7,Sesuai Ekspektasi,03-08-2026 14:21:00
199009012024051001,PEGAWAI 168,2026-01,87,74,87,79,85,74,70,79.4,Sesuai Ekspektasi,03-08-2026 14:21:00
199712152021031001,PEGAWAI 169,2026-01,72,89,93,94,100,74,80,86.0,Sesuai Ekspektasi,03-08-2026 14:21:00
199610022023051001,PEGAWAI 17,2026-01,88,72,77,87,96,75,89,83.4,Sesuai Ekspektasi,03-08-2026 14:21:00
200109162026071001,PEGAWAI 170,2026-01,82,76,79,91,96,82,70,82.3,Sesuai Ekspektasi,03-08-2026 14:21:00
199304302026041001,PEGAWAI 171,2026-01,78,95,95,78,86,71,78,83.0,Sesuai Ekspektasi,03-08-2026 14:21:00
197709242025121001,PEGAWAI 172,2026-01,77,84,83,94,98,73,78,83.9,Sesuai Ekspektasi,03-08-2026 14:21:00
199710022025021001,PEGAWAI 173,2026-01,73,80,88,82,89,76,80,81.1,Sesuai Ekspektasi,03-08-2026 14:21:00
198212212024111001,PEGAWAI 174,2026-01,87,89,78,89,82,90,95,87.1,Sesuai Ekspektasi,03-08-2026 14:21:00
199906062024052001,PEGAWAI 175,2026-01,78,75,70,85,96,82,81,81.0,Sesuai Ekspektasi,03-08-2026 14:21:00
200006272027072001,PEGAWAI 176,2026-01,78,72,90,91,82,71,73,79.6,Sesuai Ekspektasi,03-08-2026 14:21:00
198807062010112001,PEGAWAI 177,2026-01,70,88,87,87,87,77,84,82.9,Sesuai Ekspektasi,03-08-2026 14:21:00
199710152020032001,PEGAWAI 178,2026-01,83,70,73,87,89,85,74,80.1,Sesuai Ekspektasi,03-08-2026 14:21:00
199812072025082001,PEGAWAI 179,2026-01,94,80,71,91,92,72,79,82.7,Sesuai Ekspektasi,03-08-2026 14:21:00
199411242018031001,PEGAWAI 18,2026-01,83,94,94,75,84,93,87,87.1,Sesuai Ekspektasi,03-08-2026 14:21:00
196705041997121001,PEGAWAI 180,2026-01,76,93,93,88,91,71,77,84.1,Sesuai Ekspektasi,03-08-2026 14:21:00
197708012001031001,PEGAWAI 181,2026-01,88,75,83,82,94,92,73,83.9,Sesuai Ekspektasi,03-08-2026 14:21:00
197102031994061001,PEGAWAI 182,2026-01,79,92,95,94,100,83,84,89.6,Sesuai Ekspektasi,03-08-2026 14:21:00
199902272024042001,PEGAWAI 183,2026-01,86,93,82,82,93,94,77,86.7,Sesuai Ekspektasi,03-08-2026 14:21:00
197807072025081001,PEGAWAI 184,2026-01,91,87,90,89,89,75,87,86.9,Sesuai Ekspektasi,03-08-2026 14:21:00
197908252026041001,PEGAWAI 185,2026-01,83,89,77,92,98,83,86,86.9,Sesuai Ekspektasi,03-08-2026 14:21:00
198211022024122001,PEGAWAI 186,2026-01,84,91,72,86,95,72,89,84.1,Sesuai Ekspektasi,03-08-2026 14:21:00
199405102025011001,PEGAWAI 187,2026-01,83,71,81,90,86,86,79,82.3,Sesuai Ekspektasi,03-08-2026 14:21:00
196703241995021001,PEGAWAI 188,2026-01,70,72,80,95,98,79,84,82.6,Sesuai Ekspektasi,03-08-2026 14:21:00
199403032026042001,PEGAWAI 189,2026-01,94,82,93,78,88,79,94,86.9,Sesuai Ekspektasi,03-08-2026 14:21:00
199707162026051001,PEGAWAI 19,2026-01,89,77,86,92,83,86,72,83.6,Sesuai Ekspektasi,03-08-2026 14:21:00
199301242026122001,PEGAWAI 190,2026-01,86,91,76,86,94,81,71,83.6,Sesuai Ekspektasi,03-08-2026 14:21:00
199601172026122001,PEGAWAI 191,2026-01,82,95,80,82,87,84,84,84.9,Sesuai Ekspektasi,03-08-2026 14:21:00
199612012024062001,PEGAWAI 192,2026-01,85,81,77,90,84,84,70,81.6,Sesuai Ekspektasi,03-08-2026 14:21:00
197509042009091001,PEGAWAI 193,2026-01,80,88,77,89,99,94,77,86.3,Sesuai Ekspektasi,03-08-2026 14:21:00
198909112026121001,PEGAWAI 194,2026-01,87,84,71,84,88,81,81,82.3,Sesuai Ekspektasi,03-08-2026 14:21:00
197502272025072001,PEGAWAI 195,2026-01,80,88,95,83,97,70,95,86.9,Sesuai Ekspektasi,03-08-2026 14:21:00
199306202026012001,PEGAWAI 196,2026-01,70,89,71,92,81,82,95,82.9,Sesuai Ekspektasi,03-08-2026 14:21:00
197209182009082001,PEGAWAI 197,2026-01,89,91,73,83,100,84,88,86.9,Sesuai Ekspektasi,03-08-2026 14:21:00
197005011998022001,PEGAWAI 198,2026-01,86,76,95,92,85,89,86,87.0,Sesuai Ekspektasi,03-08-2026 14:21:00
200011172023052001,PEGAWAI 199,2026-01,79,76,76,93,95,79,93,84.4,Sesuai Ekspektasi,03-08-2026 14:21:00
198506242024011001,PEGAWAI 2,2026-01,91,94,79,77,82,71,90,83.4,Sesuai Ekspektasi,03-08-2026 14:21:00
199805282026122001,PEGAWAI 20,2026-01,86,82,76,83,90,71,83,81.6,Sesuai Ekspektasi,03-08-2026 14:21:00
198204042024081001,PEGAWAI 200,2026-01,78,72,79,70,71,71,74,73.6,Dibawah Ekspektasi,03-08-2026 14:21:00
197102142028011001,PEGAWAI 201,2026-01,78,74,83,81,81,73,76,78.0,Sesuai Ekspektasi,03-08-2026 14:21:00
197007141985121001,PEGAWAI 202,2026-01,76,78,82,91,94,89,78,84.0,Sesuai Ekspektasi,03-08-2026 14:21:00
198201012024071001,PEGAWAI 203,2026-01,81,73,88,93,96,78,77,83.7,Sesuai Ekspektasi,03-08-2026 14:21:00
197411212024121001,PEGAWAI 204,2026-01,86,83,78,92,87,71,72,81.3,Sesuai Ekspektasi,03-08-2026 14:21:00
197104092024121001,PEGAWAI 205,2026-01,75,85,79,94,80,79,88,82.9,Sesuai Ekspektasi,03-08-2026 14:21:00
197707212009111001,PEGAWAI 206,2026-01,86,71,95,81,88,73,92,83.7,Sesuai Ekspektasi,03-08-2026 14:21:00
197004031996052001,PEGAWAI 207,2026-01,88,84,94,86,94,93,77,88.0,Sesuai Ekspektasi,03-08-2026 14:21:00
197403192025022001,PEGAWAI 208,2026-01,71,95,85,95,93,80,86,86.4,Sesuai Ekspektasi,03-08-2026 14:21:00
196806031990081001,PEGAWAI 209,2026-01,91,80,84,75,90,73,80,81.9,Sesuai Ekspektasi,03-08-2026 14:21:00
196904171988061001,PEGAWAI 21,2026-01,77,76,75,88,97,88,73,82.0,Sesuai Ekspektasi,03-08-2026 14:21:00
197401102009071001,PEGAWAI 210,2026-01,83,76,88,86,85,83,84,83.6,Sesuai Ekspektasi,03-08-2026 14:21:00
196907041988121001,PEGAWAI 211,2026-01,78,86,92,79,85,92,85,85.3,Sesuai Ekspektasi,03-08-2026 14:21:00
197309202007042001,PEGAWAI 212,2026-01,86,85,89,92,88,72,92,86.3,Sesuai Ekspektasi,03-08-2026 14:21:00
197104191994041001,PEGAWAI 213,2026-01,89,86,84,81,96,77,77,84.3,Sesuai Ekspektasi,03-08-2026 14:21:00
197602042026051001,PEGAWAI 214,2026-01,87,95,86,84,83,77,70,83.1,Sesuai Ekspektasi,03-08-2026 14:21:00
198303142024041001,PEGAWAI 215,2026-01,84,88,85,94,97,86,88,88.9,Sesuai Ekspektasi,03-08-2026 14:21:00
197202101998031001,PEGAWAI 216,2026-01,71,90,90,89,99,93,87,88.4,Sesuai Ekspektasi,03-08-2026 14:21:00
198710292027041001,PEGAWAI 217,2026-01,81,90,82,82,91,74,75,82.1,Sesuai Ekspektasi,03-08-2026 14:21:00
198001192027102001,PEGAWAI 218,2026-01,97,90,91,95,89,87,92,91.6,Diatas Ekspektasi,03-08-2026 14:21:00
197205151997071001,PEGAWAI 219,2026-01,80,90,81,78,90,75,83,82.4,Sesuai Ekspektasi,03-08-2026 14:21:00
200007142023072001,PEGAWAI 22,2026-01,92,75,87,83,91,74,87,84.1,Sesuai Ekspektasi,03-08-2026 14:21:00
197906092025071001,PEGAWAI 220,2026-01,94,94,84,86,85,71,88,86.0,Sesuai Ekspektasi,03-08-2026 14:21:00
197906252026061001,PEGAWAI 221,2026-01,85,79,90,91,80,75,74,82.0,Sesuai Ekspektasi,03-08-2026 14:21:00
197610052023051001,PEGAWAI 222,2026-01,82,78,91,76,81,86,90,83.4,Sesuai Ekspektasi,03-08-2026 14:21:00
198202282026051001,PEGAWAI 223,2026-01,94,88,72,80,86,84,78,83.1,Sesuai Ekspektasi,03-08-2026 14:21:00
197808032025041001,PEGAWAI 224,2026-01,85,77,74,83,86,89,84,82.6,Sesuai Ekspektasi,03-08-2026 14:21:00
199007182015041001,PEGAWAI 225,2026-01,71,92,86,94,91,76,81,84.4,Sesuai Ekspektasi,03-08-2026 14:21:00
196811301992061001,PEGAWAI 226,2026-01,92,72,79,85,89,70,85,81.7,Sesuai Ekspektasi,03-08-2026 14:21:00
199712212026051001,PEGAWAI 227,2026-01,85,91,74,77,89,79,77,81.7,Sesuai Ekspektasi,03-08-2026 14:21:00
198009112026061001,PEGAWAI 228,2026-01,84,71,85,82,94,76,72,80.6,Sesuai Ekspektasi,03-08-2026 14:21:00
199908092021091001,PEGAWAI 229,2026-01,81,93,89,88,86,70,84,84.4,Sesuai Ekspektasi,03-08-2026 14:21:00
197001231995091001,PEGAWAI 23,2026-01,85,90,82,82,81,74,70,80.6,Sesuai Ekspektasi,03-08-2026 14:21:00
197708132026041001,PEGAWAI 230,2026-01,87,82,74,79,94,85,94,85.0,Sesuai Ekspektasi,03-08-2026 14:21:00
199211112022032001,PEGAWAI 231,2026-01,80,91,74,82,80,76,70,79.0,Sesuai Ekspektasi,03-08-2026 14:21:00
197502271997061001,PEGAWAI 232,2026-01,81,77,93,76,94,81,82,83.4,Sesuai Ekspektasi,03-08-2026 14:21:00
199207062025092001,PEGAWAI 233,2026-01,84,79,80,91,84,83,79,82.9,Sesuai Ekspektasi,03-08-2026 14:21:00
196812051998051001,PEGAWAI 234,2026-01,77,76,75,95,93,91,89,85.1,Sesuai Ekspektasi,03-08-2026 14:21:00
197307211994051001,PEGAWAI 235,2026-01,81,75,80,95,89,90,95,86.4,Sesuai Ekspektasi,03-08-2026 14:21:00
196906171998021001,PEGAWAI 236,2026-01,77,77,93,87,94,82,83,84.7,Sesuai Ekspektasi,03-08-2026 14:21:00
197810092025111001,PEGAWAI 237,2026-01,76,91,70,91,96,87,71,83.1,Sesuai Ekspektasi,03-08-2026 14:21:00
199705132026101001,PEGAWAI 238,2026-01,83,90,72,88,100,75,74,83.1,Sesuai Ekspektasi,03-08-2026 14:21:00
199207132024111001,PEGAWAI 239,2026-01,72,73,94,91,83,94,84,84.4,Sesuai Ekspektasi,03-08-2026 14:21:00
199504172022071001,PEGAWAI 24,2026-01,76,78,82,87,82,84,91,82.9,Sesuai Ekspektasi,03-08-2026 14:21:00
196805281988091001,PEGAWAI 240,2026-01,73,86,71,76,95,78,81,80.0,Sesuai Ekspektasi,03-08-2026 14:21:00
200204142024061001,PEGAWAI 241,2026-01,90,95,76,91,80,72,88,84.6,Sesuai Ekspektasi,03-08-2026 14:21:00
199705062024121001,PEGAWAI 242,2026-01,77,93,80,77,89,88,91,85.0,Sesuai Ekspektasi,03-08-2026 14:21:00
199202062025111001,PEGAWAI 243,2026-01,93,82,80,77,95,86,95,86.9,Sesuai Ekspektasi,03-08-2026 14:21:00
197304142007052001,PEGAWAI 244,2026-01,86,83,72,86,83,75,78,80.4,Sesuai Ekspektasi,03-08-2026 14:21:00
198807112009092001,PEGAWAI 245,2026-01,73,78,88,78,83,80,80,80.0,Sesuai Ekspektasi,03-08-2026 14:21:00
197602292010122001,PEGAWAI 246,2026-01,87,90,92,81,92,81,84,86.7,Sesuai Ekspektasi,03-08-2026 14:21:00
198607182026021001,PEGAWAI 247,2026-01,78,71,89,80,88,95,87,84.0,Sesuai Ekspektasi,03-08-2026 14:21:00
199202032024061001,PEGAWAI 248,2026-01,88,80,72,79,89,95,71,82.0,Sesuai Ekspektasi,03-08-2026 14:21:00
197002211996061001,PEGAWAI 249,2026-01,93,80,94,80,99,85,79,87.1,Sesuai Ekspektasi,03-08-2026 14:21:00
200004012023042001,PEGAWAI 25,2026-01,71,90,81,87,88,74,92,83.3,Sesuai Ekspektasi,03-08-2026 14:21:00
199302192013072001,PEGAWAI 250,2026-01,77,92,82,82,87,72,85,82.4,Sesuai Ekspektasi,03-08-2026 14:21:00
199007052026042001,PEGAWAI 26,2026-01,81,81,80,91,100,73,82,84.0,Sesuai Ekspektasi,03-08-2026 14:21:00
197407072010042001,PEGAWAI 27,2026-01,83,90,89,86,92,83,74,85.3,Sesuai Ekspektasi,03-08-2026 14:21:00
196703211999081001,PEGAWAI 28,2026-01,80,81,78,94,94,87,82,85.1,Sesuai Ekspektasi,03-08-2026 14:21:00
199510282017052001,PEGAWAI 29,2026-01,93,71,92,77,86,74,94,83.9,Sesuai Ekspektasi,03-08-2026 14:21:00
199309052025111001,PEGAWAI 3,2026-01,90,72,88,85,88,92,90,86.4,Sesuai Ekspektasi,03-08-2026 14:21:00
200009252026081001,PEGAWAI 30,2026-01,83,70,93,81,84,77,70,79.7,Sesuai Ekspektasi,03-08-2026 14:21:00
197902112016041001,PEGAWAI 31,2026-01,91,87,79,84,94,80,80,85.0,Sesuai Ekspektasi,03-08-2026 14:21:00
197408212026051001,PEGAWAI 32,2026-01,91,86,92,90,96,74,74,86.1,Sesuai Ekspektasi,03-08-2026 14:21:00
199312022025061001,PEGAWAI 33,2026-01,78,77,79,85,85,86,90,82.9,Sesuai Ekspektasi,03-08-2026 14:21:00
199802092022051001,PEGAWAI 34,2026-01,94,70,74,90,82,91,73,82.0,Sesuai Ekspektasi,03-08-2026 14:21:00
197907192027091001,PEGAWAI 35,2026-01,84,80,85,92,100,74,78,84.7,Sesuai Ekspektasi,03-08-2026 14:21:00
196706011999021001,PEGAWAI 36,2026-01,91,72,73,79,90,70,72,78.1,Sesuai Ekspektasi,03-08-2026 14:21:00
198311132026121001,PEGAWAI 37,2026-01,78,78,84,90,87,90,83,84.3,Sesuai Ekspektasi,03-08-2026 14:21:00
197611302024091001,PEGAWAI 38,2026-01,87,82,83,81,95,90,94,87.4,Sesuai Ekspektasi,03-08-2026 14:21:00
199511092023012001,PEGAWAI 39,2026-01,89,72,74,93,82,78,80,81.1,Sesuai Ekspektasi,03-08-2026 14:21:00
199302282027111001,PEGAWAI 4,2026-01,79,88,77,94,81,92,83,84.9,Sesuai Ekspektasi,03-08-2026 14:21:00
199606152023062001,PEGAWAI 40,2026-01,82,74,82,82,99,76,90,83.6,Sesuai Ekspektasi,03-08-2026 14:21:00
199602042026041001,PEGAWAI 41,2026-01,94,88,95,76,100,84,88,89.3,Sesuai Ekspektasi,03-08-2026 14:21:00
198703262009081001,PEGAWAI 42,2026-01,72,86,89,84,93,89,76,84.1,Sesuai Ekspektasi,03-08-2026 14:21:00
197509132027031001,PEGAWAI 43,2026-01,71,91,81,76,95,92,89,85.0,Sesuai Ekspektasi,03-08-2026 14:21:00
200112292024011001,PEGAWAI 44,2026-01,83,94,70,94,98,86,89,87.7,Sesuai Ekspektasi,03-08-2026 14:21:00
199710182025112001,PEGAWAI 45,2026-01,72,77,74,89,81,78,71,77.4,Sesuai Ekspektasi,03-08-2026 14:21:00
198804282024031001,PEGAWAI 46,2026-01,90,75,72,95,86,85,94,85.3,Sesuai Ekspektasi,03-08-2026 14:21:00
199809052024081001,PEGAWAI 47,2026-01,75,73,80,77,88,90,70,79.0,Sesuai Ekspektasi,03-08-2026 14:21:00
198512162009122001,PEGAWAI 48,2026-01,92,74,91,77,85,95,81,85.0,Sesuai Ekspektasi,03-08-2026 14:21:00
198304082024101001,PEGAWAI 49,2026-01,79,79,89,89,99,87,87,87.0,Sesuai Ekspektasi,03-08-2026 14:21:00
196908311989051001,PEGAWAI 5,2026-01,80,82,85,77,93,88,84,84.1,Sesuai Ekspektasi,03-08-2026 14:21:00
200203142025051001,PEGAWAI 50,2026-01,73,89,72,88,82,81,83,81.1,Sesuai Ekspektasi,03-08-2026 14:21:00
199211072027091001,PEGAWAI 51,2026-01,76,74,75,81,99,82,91,82.6,Sesuai Ekspektasi,03-08-2026 14:21:00
199906162024101001,PEGAWAI 52,2026-01,71,77,86,86,86,78,84,81.1,Sesuai Ekspektasi,03-08-2026 14:21:00
199806252027041001,PEGAWAI 53,2026-01,94,83,94,90,84,82,75,86.0,Sesuai Ekspektasi,03-08-2026 14:21:00
199204242016121001,PEGAWAI 54,2026-01,74,88,87,75,95,90,83,84.6,Sesuai Ekspektasi,03-08-2026 14:21:00
197202022024051001,PEGAWAI 55,2026-01,72,92,83,81,94,74,86,83.1,Sesuai Ekspektasi,03-08-2026 14:21:00
197209041999011001,PEGAWAI 56,2026-01,77,74,91,78,98,92,80,84.3,Sesuai Ekspektasi,03-08-2026 14:21:00
198901292027011001,PEGAWAI 57,2026-01,72,91,91,76,92,82,84,84.0,Sesuai Ekspektasi,03-08-2026 14:21:00
198110312024051001,PEGAWAI 58,2026-01,72,70,94,77,98,73,86,81.4,Sesuai Ekspektasi,03-08-2026 14:21:00
199904262025092001,PEGAWAI 59,2026-01,95,85,80,84,89,83,80,85.1,Sesuai Ekspektasi,03-08-2026 14:21:00
197110152025031001,PEGAWAI 6,2026-01,73,72,81,77,98,86,85,81.7,Sesuai Ekspektasi,03-08-2026 14:21:00
196911101996022001,PEGAWAI 60,2026-01,75,70,83,88,89,72,86,80.4,Sesuai Ekspektasi,03-08-2026 14:21:00
198101052016061001,PEGAWAI 61,2026-01,86,71,80,91,89,72,73,80.3,Sesuai Ekspektasi,03-08-2026 14:21:00
